RANK,SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,PRIMGEO_FLAG,FUNCSTAT,NAME,STNAME,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,Type,UID,Population Sum,% of Population,Total
1,50,6,37,0,0,0,0,A,Los Angeles County,California,10014042,9992236,9811842,9721138,County,Los Angeles County_California_10014042_9992236_9811842_9721138,9721138,2.95%,3095
2,50,17,31,0,0,0,0,A,Cook County,Illinois,5275522,5261249,5177606,5109292,County,Cook County_Illinois_5275522_5261249_5177606_5109292,14830430,4.50%,
3,50,48,201,0,0,0,0,A,Harris County,Texas,4731129,4734505,4735287,4780913,County,Harris County_Texas_4731129_4734505_4735287_4780913,19611343,5.95%,
4,50,4,13,0,0,0,0,A,Maricopa County,Arizona,4420574,4440232,4494693,4551524,County,Maricopa County_Arizona_4420574_4440232_4494693_4551524,24162867,7.33%,
5,50,6,73,0,0,0,0,A,San Diego County,California,3298635,3296045,3274954,3276208,County,San Diego County_California_3298635_3296045_3274954_3276208,27439075,8.32%,
6,50,6,59,0,0,0,0,A,Orange County,California,3186979,3185516,3161005,3151184,County,Orange County_California_3186979_3185516_3161005_3151184,30590259,9.28%,
7,50,12,86,0,0,0,0,A,Miami-Dade County,Florida,2701762,2695501,2670421,2673837,County,Miami-Dade County_Florida_2701762_2695501_2670421_2673837,33264096,10.09%,
8,50,48,113,0,0,0,0,A,Dallas County,Texas,2611491,2609966,2587954,2600840,County,Dallas County_Texas_2611491_2609966_2587954_2600840,35864936,10.88%,
9,50,36,47,0,0,0,0,C,Kings County,New York,2736075,2719044,2637486,2590516,County,Kings County_New York_2736075_2719044_2637486_2590516,38455452,11.66%,
10,50,6,65,0,0,0,0,A,Riverside County,California,2418177,2422847,2453178,2473902,County,Riverside County_California_2418177_2422847_2453178_2473902,40929354,12.41%,
11,50,32,3,0,0,0,0,A,Clark County,Nevada,2265469,2274734,2295194,2322985,County,Clark County_Nevada_2265469_2274734_2295194_2322985,43252339,13.12%,
12,50,36,81,0,0,0,0,C,Queens County,New York,2405464,2388586,2328141,2278029,County,Queens County_New York_2405464_2388586_2328141_2278029,45530368,13.81%,
13,50,53,33,0,0,0,0,A,King County,Washington,2269667,2274094,2253038,2266789,County,King County_Washington_2269667_2274094_2253038_2266789,47797157,14.49%,
14,50,6,71,0,0,0,0,A,San Bernardino County,California,2181662,2183239,2192882,2193656,County,San Bernardino County_California_2181662_2183239_2192882_2193656,49990813,15.16%,
15,50,48,439,0,0,0,0,A,Tarrant County,Texas,2110608,2115682,2129402,2154595,County,Tarrant County_Texas_2110608_2115682_2129402_2154595,52145408,15.81%,
16,50,48,29,0,0,0,0,A,Bexar County,Texas,2009322,2015369,2030895,2059530,County,Bexar County_Texas_2009322_2015369_2030895_2059530,54204938,16.44%,
17,50,12,11,0,0,0,0,A,Broward County,Florida,1944376,1943266,1935729,1947026,County,Broward County_Florida_1944376_1943266_1935729_1947026,56151964,17.03%,
18,50,6,85,0,0,0,0,A,Santa Clara County,California,1936274,1931026,1886595,1870945,County,Santa Clara County_California_1936274_1931026_1886595_1870945,58022909,17.60%,
19,50,26,163,0,0,0,0,A,Wayne County,Michigan,1793549,1789129,1773073,1757043,County,Wayne County_Michigan_1793549_1789129_1773073_1757043,59779952,18.13%,
20,50,6,1,0,0,0,0,A,Alameda County,California,1682331,1680380,1643837,1628997,County,Alameda County_California_1682331_1680380_1643837_1628997,61408949,18.62%,
21,50,25,17,0,0,0,0,N,Middlesex County,Massachusetts,1632002,1628671,1617099,1617105,County,Middlesex County_Massachusetts_1632002_1628671_1617099_1617105,63026054,19.11%,
22,50,36,61,0,0,0,0,C,New York County,New York,1694250,1677306,1578801,1596273,County,New York County_New York_1694250_1677306_1578801_1596273,64622327,19.60%,
23,50,6,67,0,0,0,0,A,Sacramento County,California,1585046,1586465,1588106,1584169,County,Sacramento County_California_1585046_1586465_1588106_1584169,66206496,20.08%,
24,50,42,101,0,0,0,0,C,Philadelphia County,Pennsylvania,1603799,1600600,1589480,1567258,County,Philadelphia County_Pennsylvania_1603799_1600600_1589480_1567258,67773754,20.55%,
25,50,36,103,0,0,0,0,A,Suffolk County,New York,1525936,1521950,1533118,1525465,County,Suffolk County_New York_1525936_1521950_1533118_1525465,69299219,21.01%,
26,50,12,99,0,0,0,0,A,Palm Beach County,Florida,1492198,1494173,1503223,1518477,County,Palm Beach County_Florida_1492198_1494173_1503223_1518477,70817696,21.47%,
27,50,12,57,0,0,0,0,A,Hillsborough County,Florida,1459773,1466160,1484455,1513301,County,Hillsborough County_Florida_1459773_1466160_1484455_1513301,72330997,21.93%,
28,50,12,95,0,0,0,0,A,Orange County,Florida,1429901,1431573,1427928,1452726,County,Orange County_Florida_1429901_1431573_1427928_1452726,73783723,22.37%,
29,50,36,59,0,0,0,0,A,Nassau County,New York,1395777,1390559,1391112,1383726,County,Nassau County_New York_1395777_1390559_1391112_1383726,75167449,22.79%,
30,50,36,5,0,0,0,0,C,Bronx County,New York,1472656,1461125,1421089,1379946,County,Bronx County_New York_1472656_1461125_1421089_1379946,76547395,23.21%,
31,50,48,453,0,0,0,0,A,Travis County,Texas,1290209,1296515,1308544,1326436,County,Travis County_Texas_1290209_1296515_1308544_1326436,77873831,23.61%,
32,50,39,49,0,0,0,0,A,Franklin County,Ohio,1323800,1324357,1317560,1321820,County,Franklin County_Ohio_1323800_1324357_1317560_1321820,79195651,24.02%,
33,50,26,125,0,0,0,0,A,Oakland County,Michigan,1274395,1272413,1271891,1269431,County,Oakland County_Michigan_1274395_1272413_1271891_1269431,80465082,24.40%,
34,50,27,53,0,0,0,0,A,Hennepin County,Minnesota,1281568,1281568,1266736,1260121,County,Hennepin County_Minnesota_1281568_1281568_1266736_1260121,81725203,24.78%,
35,50,39,35,0,0,0,0,A,Cuyahoga County,Ohio,1264813,1262523,1247808,1236041,County,Cuyahoga County_Ohio_1264813_1262523_1247808_1236041,82961244,25.16%,
36,50,42,3,0,0,0,0,A,Allegheny County,Pennsylvania,1250585,1249524,1245445,1233253,County,Allegheny County_Pennsylvania_1250585_1249524_1245445_1233253,84194497,25.53%,
37,50,49,35,0,0,0,0,A,Salt Lake County,Utah,1185236,1186921,1186440,1186257,County,Salt Lake County_Utah_1185236_1186921_1186440_1186257,85380754,25.89%,
38,50,37,183,0,0,0,0,A,Wake County,North Carolina,1129393,1130685,1152357,1175021,County,Wake County_North Carolina_1129393_1130685_1152357_1175021,86555775,26.25%,
39,50,48,85,0,0,0,0,A,Collin County,Texas,1066465,1075654,1114450,1158696,County,Collin County_Texas_1066465_1075654_1114450_1158696,87714471,26.60%,
40,50,6,13,0,0,0,0,A,Contra Costa County,California,1165927,1165986,1163298,1156966,County,Contra Costa County_California_1165927_1165986_1163298_1156966,88871437,26.95%,
41,50,37,119,0,0,0,0,A,Mecklenburg County,North Carolina,1115526,1116788,1125809,1145392,County,Mecklenburg County_North Carolina_1115526_1116788_1125809_1145392,90016829,27.30%,
42,50,51,59,0,0,0,0,A,Fairfax County,Virginia,1150305,1148558,1141645,1138331,County,Fairfax County_Virginia_1150305_1148558_1141645_1138331,91155160,27.64%,
43,50,13,121,0,0,0,0,A,Fulton County,Georgia,1066702,1069370,1062531,1074634,County,Fulton County_Georgia_1066702_1069370_1062531_1074634,92229794,27.97%,
44,50,4,19,0,0,0,0,A,Pima County,Arizona,1043434,1045175,1048895,1057597,County,Pima County_Arizona_1043434_1045175_1048895_1057597,93287391,28.29%,
45,50,24,31,0,0,0,0,A,Montgomery County,Maryland,1062054,1060825,1055924,1052521,County,Montgomery County_Maryland_1062054_1060825_1055924_1052521,94339912,28.61%,
46,50,12,31,0,0,0,0,C,Duval County,Florida,995560,997604,1002252,1016536,County,Duval County_Florida_995560_997604_1002252_1016536,95356448,28.92%,
47,50,6,19,0,0,0,0,A,Fresno County,California,1008650,1009503,1012992,1015190,County,Fresno County_California_1008650_1009503_1012992_1015190,96371638,29.22%,
48,50,15,3,0,0,0,0,A,Honolulu County,Hawaii,1016506,1012305,1004673,995638,County,Honolulu County_Hawaii_1016506_1012305_1004673_995638,97367276,29.53%,
49,50,36,119,0,0,0,0,A,Westchester County,New York,1004445,1001431,999607,990427,County,Westchester County_New York_1004445_1001431_999607_990427,98357703,29.83%,
50,50,29,189,0,0,0,0,A,St. Louis County,Missouri,1004310,1003056,998227,990414,County,St. Louis County_Missouri_1004310_1003056_998227_990414,99348117,30.13%,
51,50,9,110,0,0,0,0,N,Capitol Planning Region,Connecticut,976269,973159,980757,981447,Region,Capitol Planning Region_Connecticut_976269_973159_980757_981447,100329564,30.42%,
52,50,48,121,0,0,0,0,A,Denton County,Texas,906405,914324,943857,977281,County,Denton County_Texas_906405_914324_943857_977281,101306845,30.72%,
53,50,13,135,0,0,0,0,A,Gwinnett County,Georgia,957027,958005,965145,975353,County,Gwinnett County_Georgia_957027_958005_965145_975353,102282198,31.02%,
54,50,18,97,0,0,0,0,C,Marion County,Indiana,977213,976631,971647,969466,County,Marion County_Indiana_977213_976631_971647_969466,103251664,31.31%,
55,50,12,103,0,0,0,0,A,Pinellas County,Florida,959103,959465,959046,961739,County,Pinellas County_Florida_959103_959465_959046_961739,104213403,31.60%,
56,50,34,3,0,0,0,0,A,Bergen County,New Jersey,955746,953617,954879,952997,County,Bergen County_New Jersey_955746_953617_954879_952997,105166400,31.89%,
57,50,36,29,0,0,0,0,A,Erie County,New York,954244,952598,954350,950312,County,Erie County_New York_954244_952598_954350_950312,106116712,32.18%,
58,50,24,33,0,0,0,0,A,Prince George's County,Maryland,967194,965290,956254,946971,County,Prince George's County_Maryland_967194_965290_956254_946971,107063683,32.47%,
59,50,53,53,0,0,0,0,A,Pierce County,Washington,921137,923524,927199,927380,County,Pierce County_Washington_921137_923524_927199_927380,107991063,32.75%,
60,50,17,43,0,0,0,0,A,DuPage County,Illinois,932877,931244,926448,920901,County,DuPage County_Illinois_932877_931244_926448_920901,108911964,33.03%,
61,50,55,79,0,0,0,0,A,Milwaukee County,Wisconsin,939495,938527,924207,918661,County,Milwaukee County_Wisconsin_939495_938527_924207_918661,109830625,33.31%,
62,50,47,157,0,0,0,0,A,Shelby County,Tennessee,929722,929388,923352,916371,County,Shelby County_Tennessee_929722_929388_923352_916371,110746996,33.58%,
63,50,6,29,0,0,0,0,A,Kern County,California,909244,905828,912351,916108,County,Kern County_California_909244_905828_912351_916108,111663104,33.86%,
64,50,48,157,0,0,0,0,A,Fort Bend County,Texas,822779,829036,860124,889146,County,Fort Bend County_Texas_822779_829036_860124_889146,112552250,34.13%,
65,50,48,215,0,0,0,0,A,Hidalgo County,Texas,870796,872806,880633,888367,County,Hidalgo County_Texas_870796_872806_880633_888367,113440617,34.40%,
66,50,26,99,0,0,0,0,A,Macomb County,Michigan,881219,880176,877385,874195,County,Macomb County_Michigan_881219_880176_877385_874195,114314812,34.67%,
67,50,48,141,0,0,0,0,A,El Paso County,Texas,865655,866547,868086,868763,County,El Paso County_Texas_865655_866547_868086_868763,115183575,34.93%,
68,50,42,91,0,0,0,0,A,Montgomery County,Pennsylvania,856559,856938,864022,864683,County,Montgomery County_Pennsylvania_856559_856938_864022_864683,116048258,35.19%,
69,50,25,27,0,0,0,0,N,Worcester County,Massachusetts,862099,859708,862132,862927,County,Worcester County_Massachusetts_862099_859708_862132_862927,116911185,35.45%,
70,50,34,23,0,0,0,0,A,Middlesex County,New Jersey,863183,861314,862328,861418,County,Middlesex County_New Jersey_863183_861314_862328_861418,117772603,35.71%,
71,50,34,13,0,0,0,0,A,Essex County,New Jersey,862782,859924,854121,849477,County,Essex County_New Jersey_862782_859924_854121_849477,118622080,35.97%,
72,50,24,5,0,0,0,1,A,Baltimore County,Maryland,854554,853325,850634,846161,County,Baltimore County_Maryland_854554_853325_850634_846161,119468241,36.23%,
73,50,53,61,0,0,0,0,A,Snohomish County,Washington,827947,829869,836037,840079,County,Snohomish County_Washington_827947_829869_836037_840079,120308320,36.48%,
74,50,6,111,0,0,0,0,A,Ventura County,California,843843,843310,839358,832605,County,Ventura County_California_843843_843310_839358_832605,121140925,36.74%,
75,50,39,61,0,0,0,0,A,Hamilton County,Ohio,830625,830320,827501,825037,County,Hamilton County_Ohio_830625_830320_827501_825037,121965962,36.99%,
76,50,12,71,0,0,0,0,A,Lee County,Florida,760820,765504,790676,822453,County,Lee County_Florida_760820_765504_790676_822453,122788415,37.23%,
77,50,6,75,0,0,0,0,C,San Francisco County,California,873959,870393,811253,808437,County,San Francisco County_California_873959_870393_811253_808437,123596852,37.48%,
78,50,25,9,0,0,0,0,N,Essex County,Massachusetts,809818,808491,807485,806765,County,Essex County_Massachusetts_809818_808491_807485_806765,124403617,37.72%,
79,50,40,109,0,0,0,0,A,Oklahoma County,Oklahoma,796567,798200,799622,802559,County,Oklahoma County_Oklahoma_796567_798200_799622_802559,125206176,37.97%,
80,50,41,51,0,0,0,0,A,Multnomah County,Oregon,815429,816467,805593,795083,County,Multnomah County_Oregon_815429_816467_805593_795083,126001259,38.21%,
81,50,6,77,0,0,0,0,A,San Joaquin County,California,779227,780558,788140,793229,County,San Joaquin County_California_779227_780558_788140_793229,126794488,38.45%,
82,50,12,105,0,0,0,0,A,Polk County,Florida,725041,730111,755179,787404,County,Polk County_Florida_725041_730111_755179_787404,127581892,38.69%,
83,170,21,0,0,0,48003,0,A,Louisville/Jefferson County metro government,Kentucky,782956,782783,777378,773399,government,Louisville/Jefferson County metro government_Kentucky_782956_782783_777378_773399,128355291,38.92%,
84,50,13,67,0,0,0,0,A,Cobb County,Georgia,766160,766374,766691,771952,County,Cobb County_Georgia_766160_766374_766691_771952,129127243,39.16%,
85,50,25,25,0,0,0,0,N,Suffolk County,Massachusetts,797941,793271,771765,766381,County,Suffolk County_Massachusetts_797941_793271_771765_766381,129893624,39.39%,
86,50,13,89,0,0,0,0,A,DeKalb County,Georgia,764386,764420,759231,762820,County,DeKalb County_Georgia_764386_764420_759231_762820,130656444,39.62%,
87,50,36,55,0,0,0,0,A,Monroe County,New York,759444,757790,756547,752035,County,Monroe County_New York_759444_757790_756547_752035,131408479,39.85%,
88,50,8,41,0,0,0,0,A,El Paso County,Colorado,730402,732342,737228,740567,County,El Paso County_Colorado_730402_732342_737228_740567,132149046,40.07%,
89,50,6,81,0,0,0,0,A,San Mateo County,California,764432,762511,739060,729181,County,San Mateo County_California_764432_762511_739060_729181,132878227,40.29%,
90,50,25,21,0,0,0,0,A,Norfolk County,Massachusetts,725999,724322,724692,725531,County,Norfolk County_Massachusetts_725999_724322_724692_725531,133603758,40.51%,
91,50,29,95,0,0,0,0,A,Jackson County,Missouri,717206,717572,717616,716531,County,Jackson County_Missouri_717206_717572_717616_716531,134320289,40.73%,
92,50,8,31,0,0,0,0,C,Denver County,Colorado,715538,717556,711323,713252,County,Denver County_Colorado_715538_717556_711323_713252,135033541,40.95%,
93,50,17,97,0,0,0,0,A,Lake County,Illinois,714351,713251,712160,709150,County,Lake County_Illinois_714351_713251_712160_709150,135742691,41.16%,
94,170,47,0,0,0,52004,0,A,Nashville-Davidson metropolitan government,Tennessee,715875,716058,703372,708144,government,Nashville-Davidson metropolitan government_Tennessee_715875_716058_703372_708144,136450835,41.38%,
95,50,47,37,0,0,0,0,C,Davidson County,Tennessee,715875,716058,703372,708144,County,Davidson County_Tennessee_715875_716058_703372_708144,137158979,41.59%,
96,50,34,17,0,0,0,0,A,Hudson County,New Jersey,724857,721832,703447,703366,County,Hudson County_New Jersey_724857_721832_703447_703366,137862345,41.81%,
97,50,49,49,0,0,0,0,A,Utah County,Utah,659392,663559,685806,702434,County,Utah County_Utah_659392_663559_685806_702434,138564779,42.02%,
98,50,17,197,0,0,0,0,A,Will County,Illinois,696362,695844,697985,696757,County,Will County_Illinois_696362_695844_697985_696757,139261536,42.23%,
99,50,48,339,0,0,0,0,A,Montgomery County,Texas,620451,625243,650261,678490,County,Montgomery County_Texas_620451_625243_650261_678490,139940026,42.44%,
100,50,40,143,0,0,0,0,A,Tulsa County,Oklahoma,669272,670653,673961,677358,County,Tulsa County_Oklahoma_669272_670653_673961_677358,140617384,42.64%,
101,50,35,1,0,0,0,0,A,Bernalillo County,New Mexico,676438,676803,674980,672508,County,Bernalillo County_New Mexico_676438_676803_674980_672508,141289892,42.85%,
102,50,48,491,0,0,0,0,A,Williamson County,Texas,609010,615517,644451,671418,County,Williamson County_Texas_609010_615517_644451_671418,141961310,43.05%,
103,50,1,73,0,0,0,0,A,Jefferson County,Alabama,674355,674675,669997,665409,County,Jefferson County_Alabama_674355_674675_669997_665409,142626719,43.25%,
104,50,26,81,0,0,0,0,A,Kent County,Michigan,657984,658460,659000,659083,County,Kent County_Michigan_657984_658460_659000_659083,143285802,43.45%,
105,50,44,7,0,0,0,0,N,Providence County,Rhode Island,660739,659920,658646,657288,County,Providence County_Rhode Island_660739_659920_658646_657288,143943090,43.65%,
106,50,8,5,0,0,0,0,A,Arapahoe County,Colorado,655058,655207,656557,655808,County,Arapahoe County_Colorado_655058_655207_656557_655808,144598898,43.85%,
107,50,34,29,0,0,0,0,A,Ocean County,New Jersey,637229,638422,649741,655735,County,Ocean County_New Jersey_637229_638422_649741_655735,145254633,44.05%,
108,50,42,17,0,0,0,0,A,Bucks County,Pennsylvania,646526,646112,647159,645054,County,Bucks County_Pennsylvania_646526_646112_647159_645054,145899687,44.24%,
109,50,34,25,0,0,0,0,A,Monmouth County,New Jersey,643608,642771,646392,644098,County,Monmouth County_New Jersey_643608_642771_646392_644098,146543785,44.44%,
110,50,12,9,0,0,0,0,A,Brevard County,Florida,606603,608713,617742,630693,County,Brevard County_Florida_606603_608713_617742_630693,147174478,44.63%,
111,50,9,190,0,0,0,0,N,Western Connecticut Planning Region,Connecticut,620531,619146,624019,623690,Region,Western Connecticut Planning Region_Connecticut_620531_619146_624019_623690,147798168,44.82%,
112,50,20,91,0,0,0,0,A,Johnson County,Kansas,609864,611101,614848,619195,County,Johnson County_Kansas_609864_611101_614848_619195,148417363,45.01%,
113,50,12,101,0,0,0,0,A,Pasco County,Florida,561897,566126,584927,608794,County,Pasco County_Florida_561897_566126_584927_608794,149026157,45.19%,
114,50,41,67,0,0,0,0,A,Washington County,Oregon,600383,601101,602494,600176,County,Washington County_Oregon_600383_601101_602494_600176,149626333,45.37%,
115,50,24,3,0,0,0,0,A,Anne Arundel County,Maryland,588265,589054,592052,593286,County,Anne Arundel County_Maryland_588265_589054_592052_593286,150219619,45.55%,
116,50,31,55,0,0,0,0,A,Douglas County,Nebraska,584522,585386,585467,586327,County,Douglas County_Nebraska_584522_585386_585467_586327,150805946,45.73%,
117,50,25,5,0,0,0,0,A,Bristol County,Massachusetts,579210,576737,579895,580068,County,Bristol County_Massachusetts_579210_576737_579895_580068,151386014,45.91%,
118,50,12,127,0,0,0,0,A,Volusia County,Florida,553561,555764,565988,579192,County,Volusia County_Florida_553561_555764_565988_579192,151965206,46.08%,
119,50,8,59,0,0,0,0,A,Jefferson County,Colorado,582902,583050,580926,576143,County,Jefferson County_Colorado_582902_583050_580926_576143,152541349,46.26%,
120,50,10,3,0,0,0,0,A,New Castle County,Delaware,570721,570873,572714,575494,County,New Castle County_Delaware_570721_570873_572714_575494,153116843,46.43%,
121,50,42,45,0,0,0,0,A,Delaware County,Pennsylvania,576842,576323,576772,575182,County,Delaware County_Pennsylvania_576842_576323_576772_575182,153692025,46.61%,
122,50,9,170,0,0,0,0,N,South Central Connecticut Planning Region,Connecticut,570453,569237,573562,573244,Region,South Central Connecticut Planning Region_Connecticut_570453_569237_573562_573244,154265269,46.78%,
123,50,34,39,0,0,0,0,A,Union County,New Jersey,575352,573617,572810,569815,County,Union County_New Jersey_575352_573617_572810_569815,154835084,46.95%,
124,50,55,25,0,0,0,0,A,Dane County,Wisconsin,561507,562577,561724,568203,County,Dane County_Wisconsin_561507_562577_561724_568203,155403287,47.12%,
125,50,42,71,0,0,0,0,A,Lancaster County,Pennsylvania,552969,552761,556049,556629,County,Lancaster County_Pennsylvania_552969_552761_556049_556629,155959916,47.29%,
126,50,6,99,0,0,0,0,A,Stanislaus County,California,552880,553217,552851,551275,County,Stanislaus County_California_552880_553217_552851_551275,156511191,47.46%,
127,50,53,63,0,0,0,0,A,Spokane County,Washington,539332,541125,545498,549690,County,Spokane County_Washington_539332_541125_545498_549690,157060881,47.63%,
128,50,45,45,0,0,0,0,A,Greenville County,South Carolina,525539,527207,534521,547950,County,Greenville County_South Carolina_525539_527207_534521_547950,157608831,47.79%,
129,50,37,81,0,0,0,0,A,Guilford County,North Carolina,541309,539498,542756,546101,County,Guilford County_North Carolina_541309_539498_542756_546101,158154932,47.96%,
130,50,42,29,0,0,0,0,A,Chester County,Pennsylvania,534408,534783,540864,545823,County,Chester County_Pennsylvania_534408_534783_540864_545823,158700755,48.12%,
131,50,27,123,0,0,0,0,A,Ramsey County,Minnesota,552362,551699,542861,536413,County,Ramsey County_Minnesota_552362_551699_542861_536413,159237168,48.29%,
132,50,39,153,0,0,0,0,A,Summit County,Ohio,540436,539792,537247,535882,County,Summit County_Ohio_540436_539792_537247_535882,159773050,48.45%,
133,50,39,113,0,0,0,0,A,Montgomery County,Ohio,537316,537093,536169,533892,County,Montgomery County_Ohio_537316_537093_536169_533892,160306942,48.61%,
134,50,25,23,0,0,0,0,A,Plymouth County,Massachusetts,530820,530154,532919,533069,County,Plymouth County_Massachusetts_530820_530154_532919_533069,160840011,48.77%,
135,50,8,1,0,0,0,0,A,Adams County,Colorado,519582,520479,523592,527575,County,Adams County_Colorado_519582_520479_523592_527575,161367586,48.93%,
136,50,20,173,0,0,0,0,A,Sedgwick County,Kansas,523830,524786,524481,525525,County,Sedgwick County_Kansas_523830_524786_524481_525525,161893111,49.09%,
137,50,34,7,0,0,0,0,A,Camden County,New Jersey,523486,523074,524124,524907,County,Camden County_New Jersey_523486_523074_524124_524907,162418018,49.25%,
138,50,16,1,0,0,0,0,A,Ada County,Idaho,494964,498260,512914,518907,County,Ada County_Idaho_494964_498260_512914_518907,162936925,49.41%,
139,50,53,11,0,0,0,0,A,Clark County,Washington,503309,505301,512588,516779,County,Clark County_Washington_503309_505301_512588_516779,163453704,49.57%,
140,50,17,89,0,0,0,0,A,Kane County,Illinois,516520,516141,516183,514182,County,Kane County_Illinois_516520_516141_516183_514182,163967886,49.72%,
141,50,34,31,0,0,0,0,A,Passaic County,New Jersey,525052,523406,518345,513936,County,Passaic County_New Jersey_525052_523406_518345_513936,164481822,49.88%,
142,50,34,27,0,0,0,0,A,Morris County,New Jersey,509277,508384,510444,511151,County,Morris County_New Jersey_509277_508384_510444_511151,164992973,50.03%,
143,50,19,153,0,0,0,0,A,Polk County,Iowa,492411,492997,497675,501089,County,Polk County_Iowa_492411_492997_497675_501089,165494062,50.18%,
144,50,18,89,0,0,0,0,A,Lake County,Indiana,498707,498932,499327,499689,County,Lake County_Indiana_498707_498932_499327_499689,165993751,50.34%,
145,50,32,31,0,0,0,0,A,Washoe County,Nevada,486489,487674,494281,496745,County,Washoe County_Nevada_486489_487674_494281_496745,166490496,50.49%,
146,50,47,93,0,0,0,0,A,Knox County,Tennessee,478981,480500,486812,494574,County,Knox County_Tennessee_478981_480500_486812_494574,166985070,50.64%,
147,50,36,85,0,0,0,0,C,Richmond County,New York,495749,494586,493484,491133,County,Richmond County_New York_495749_494586_493484_491133,167476203,50.79%,
148,50,51,153,0,0,0,0,A,Prince William County,Virginia,482198,482790,485205,486943,County,Prince William County_Virginia_482198_482790_485205_486943,167963146,50.93%,
149,50,6,97,0,0,0,0,A,Sonoma County,California,488875,488281,484315,482650,County,Sonoma County_California_488875_488281_484315_482650,168445796,51.08%,
150,50,12,117,0,0,0,0,A,Seminole County,Florida,470855,471428,471009,478772,County,Seminole County_Florida_470855_471428_471009_478772,168924568,51.23%,
151,50,6,107,0,0,0,0,A,Tulare County,California,473117,473891,476946,477544,County,Tulare County_California_473117_473891_476946_477544,169402112,51.37%,
152,50,36,67,0,0,0,0,A,Onondaga County,New York,476511,474316,472094,468249,County,Onondaga County_New York_476511_474316_472094_468249,169870361,51.51%,
153,50,34,5,0,0,0,0,A,Burlington County,New Jersey,461863,461648,464411,466103,County,Burlington County_New Jersey_461863_461648_464411_466103,170336464,51.65%,
154,50,4,21,0,0,0,0,A,Pinal County,Arizona,425257,429446,448144,464154,County,Pinal County_Arizona_425257_429446_448144_464154,170800618,51.79%,
155,50,12,115,0,0,0,0,A,Sarasota County,Florida,434005,436207,448550,462286,County,Sarasota County_Florida_434005_436207_448550_462286,171262904,51.93%,
156,50,42,133,0,0,0,0,A,York County,Pennsylvania,456442,456692,459148,461058,County,York County_Pennsylvania_456442_456692_459148_461058,171723962,52.07%,
157,50,25,13,0,0,0,0,N,Hampden County,Massachusetts,465834,464407,462849,461041,County,Hampden County_Massachusetts_465834_464407_462849_461041,172185003,52.21%,
158,50,9,140,0,0,0,0,N,Naugatuck Valley Planning Region,Connecticut,450447,449896,452894,454083,Region,Naugatuck Valley Planning Region_Connecticut_450447_449896_452894_454083,172639086,52.35%,
159,50,22,33,0,0,0,0,B,East Baton Rouge Parish,Louisiana,456781,455886,453653,450544,Parish,East Baton Rouge Parish_Louisiana_456781_455886_453653_450544,173089630,52.49%,
160,50,6,95,0,0,0,0,A,Solano County,California,453490,452698,450350,448747,County,Solano County_California_453490_452698_450350_448747,173538377,52.62%,
161,50,6,83,0,0,0,0,A,Santa Barbara County,California,448217,448244,437434,443837,County,Santa Barbara County_California_448217_448244_437434_443837,173982214,52.76%,
162,50,27,37,0,0,0,0,A,Dakota County,Minnesota,439884,440393,442773,443341,County,Dakota County_Minnesota_439884_440393_442773_443341,174425555,52.89%,
163,50,6,53,0,0,0,0,A,Monterey County,California,439036,438390,437249,432858,County,Monterey County_California_439036_438390_437249_432858,174858413,53.02%,
164,50,51,107,0,0,0,0,A,Loudoun County,Virginia,420955,422669,428435,432085,County,Loudoun County_Virginia_420955_422669_428435_432085,175290498,53.16%,
165,50,42,11,0,0,0,0,A,Berks County,Pennsylvania,428840,428631,429612,430449,County,Berks County_Pennsylvania_428840_428631_429612_430449,175720947,53.29%,
166,50,12,81,0,0,0,0,A,Manatee County,Florida,399705,401593,413474,429125,County,Manatee County_Florida_399705_401593_413474_429125,176150072,53.42%,
167,50,39,95,0,0,0,0,A,Lucas County,Ohio,431273,430834,429360,426643,County,Lucas County_Ohio_431273_430834_429360_426643,176576715,53.55%,
168,50,33,11,0,0,0,0,A,Hillsborough County,New Hampshire,422941,422883,424496,426594,County,Hillsborough County_New Hampshire_422941_422883_424496_426594,177003309,53.68%,
169,50,22,51,0,0,0,0,A,Jefferson Parish,Louisiana,440794,439712,433929,425884,Parish,Jefferson Parish_Louisiana_440794_439712_433929_425884,177429193,53.80%,
170,50,48,61,0,0,0,0,A,Cameron County,Texas,421012,421445,423124,425208,County,Cameron County_Texas_421012_421445_423124_425208,177854401,53.93%,
171,50,41,5,0,0,0,0,A,Clackamas County,Oregon,421404,422444,423763,423177,County,Clackamas County_Oregon_421404_422444_423763_423177,178277578,54.06%,
172,50,12,97,0,0,0,0,A,Osceola County,Florida,388664,391118,404020,422545,County,Osceola County_Florida_388664_391118_404020_422545,178700123,54.19%,
173,50,45,79,0,0,0,0,A,Richland County,South Carolina,416145,415645,417132,421566,County,Richland County_South Carolina_416145_415645_417132_421566,179121689,54.32%,
174,50,45,19,0,0,0,0,A,Charleston County,South Carolina,408317,409716,414403,419279,County,Charleston County_South Carolina_408317_409716_414403_419279,179540968,54.44%,
175,50,6,61,0,0,0,0,A,Placer County,California,404740,405889,412789,417772,County,Placer County_California_404740_405889_412789_417772,179958740,54.57%,
